City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,butaritari,3.0707,172.7902,81.14,75.0,14.0,9.95,KI,1679278451.0
180,ola,59.5833,151.2833,21.78,88.0,100.0,14.27,RU,1679278451.0
181,pasighat,28.0667,95.3333,64.98,92.0,100.0,1.39,IN,1679278452.0
182,benguela,-12.5763,13.4055,78.44,82.0,100.0,3.56,AO,1679278452.0
183,nishihara,26.1842,127.7558,68.05,91.0,100.0,12.66,JP,1679278453.0
184,panjab,34.388,67.0233,31.35,76.0,0.0,2.3,AF,1679278453.0
185,kawalu,-7.3817,108.2082,81.99,74.0,83.0,3.22,ID,1679278454.0
186,constitucion,-35.3333,-72.4167,59.88,76.0,8.0,11.59,CL,1679278454.0
187,sibu,2.3,111.8167,74.86,99.0,100.0,2.77,MY,1679278454.0
188,poronaysk,49.2167,143.1167,35.4,94.0,82.0,1.59,RU,1679278455.0
189,nanortalik,60.1432,-45.2371,27.14,78.0,100.0,7.94,GL,1679278455.0
190,tuatapere,-46.1333,167.6833,59.32,94.0,100.0,7.47,NZ,1679278456.0
191,bethel,41.3712,-73.414,33.89,46.0,0.0,9.22,US,1679278456.0
194,banjar,-8.19,114.9675,85.21,73.0,90.0,1.16,ID,1679278457.0
196,cabra,37.4725,-4.4421,48.67,69.0,0.0,3.8,ES,1679278457.0
197,nkhotakota,-12.9274,34.2961,71.87,93.0,100.0,9.28,MW,1679278457.0
198,saldanha,-33.0117,17.9442,62.46,89.0,27.0,18.66,ZA,1679278458.0
199,castro,-24.7911,-50.0119,64.56,84.0,58.0,2.06,BR,1679278458.0
200,ostrovnoy,68.0531,39.5131,19.2,87.0,100.0,11.43,RU,1679278464.0
201,isla mujeres,21.2311,-86.731,73.45,87.0,92.0,28.32,MX,1679278464.0
202,pandan,14.0453,124.1694,79.93,63.0,24.0,7.31,PH,1679278464.0
203,tourlaville,49.6383,-1.5664,45.82,93.0,100.0,6.91,FR,1679278466.0
204,mildura,-34.2,142.15,77.32,28.0,100.0,16.51,AU,1679278466.0
205,sable-sur-sarthe,47.8376,-0.3329,43.56,82.0,99.0,2.28,FR,1679278195.0
207,robe,-37.1833,139.75,64.85,50.0,0.0,13.65,AU,1679278467.0
208,banda aceh,5.5577,95.3222,81.28,78.0,100.0,6.6,ID,1679278468.0
209,westport,41.1415,-73.3579,37.22,47.0,0.0,9.22,US,1679278242.0
210,kisaran,2.9845,99.6158,80.33,82.0,99.0,3.56,ID,1679278469.0
211,samarai,-10.6167,150.6667,85.23,71.0,30.0,15.95,PG,1679278469.0
212,ponta do sol,32.6667,-17.1,61.72,78.0,10.0,4.72,PT,1679278470.0
213,kedrovyy,56.1667,91.8167,3.61,87.0,100.0,9.95,RU,1679278335.0
214,juneau,58.3019,-134.4197,38.41,97.0,100.0,3.44,US,1679278231.0
215,clyde river,70.4692,-68.5914,-19.97,69.0,0.0,11.5,CA,1679278470.0
216,tiznit,29.5833,-9.5,61.97,50.0,0.0,4.52,MA,1679278471.0
218,pyshma,56.9523,63.2513,15.73,73.0,100.0,13.42,RU,1679278440.0
219,kamloops,50.6665,-120.3192,50.99,40.0,75.0,2.3,CA,1679278471.0
220,ulladulla,-35.35,150.4667,67.77,67.0,100.0,13.87,AU,1679278472.0
221,puerto barrios,15.7167,-88.6,80.74,74.0,75.0,0.0,GT,1679278472.0
222,kununurra,-15.7667,128.7333,91.38,58.0,14.0,8.05,AU,1679278332.0
223,bandarbeyla,9.4942,50.8122,79.61,70.0,100.0,8.57,SO,1679278472.0
224,bonavista,48.6499,-53.1147,29.26,74.0,0.0,20.58,CA,1679278473.0
225,tonantins,-2.8731,-67.8022,76.28,88.0,65.0,2.17,BR,1679278473.0
226,nchelenge,-9.3451,28.734,68.0,90.0,100.0,5.88,ZM,1679278473.0
227,lompoc,34.6391,-120.4579,59.85,81.0,20.0,9.22,US,1679278474.0
228,kaitangata,-46.2817,169.8464,68.77,59.0,100.0,2.33,NZ,1679278474.0
229,emba,48.8264,58.1442,27.45,66.0,0.0,11.3,KZ,1679278474.0
231,port hardy,50.6996,-127.4199,44.6,94.0,100.0,10.74,CA,1679278475.0
232,ixtapa,20.7,-105.2,74.43,69.0,0.0,5.75,MX,1679278475.0
233,fare,-16.7,-151.0167,82.2,74.0,87.0,9.57,PF,1679278476.0
234,mosquera,4.7059,-74.2302,51.89,93.0,75.0,3.44,CO,1679278476.0
235,mar del plata,-38.0023,-57.5575,66.09,82.0,75.0,4.61,AR,1679278476.0
236,pedernales,18.0384,-71.744,76.96,66.0,0.0,4.23,DO,1679278477.0
238,port jervis,41.3751,-74.6927,32.02,56.0,0.0,9.06,US,1679278217.0
239,cherskiy,68.75,161.3,-0.76,92.0,94.0,8.28,RU,1679278477.0
240,west plains,36.7281,-91.8524,31.91,52.0,0.0,0.0,US,1679278477.0
241,linjiang,41.8069,126.9078,50.45,28.0,5.0,8.39,CN,1679278478.0
242,thiers,45.8333,3.5,44.92,95.0,10.0,1.16,FR,1679278478.0
244,ontario,34.0633,-117.6509,56.1,87.0,100.0,8.05,US,1679278103.0
245,klaksvik,62.2266,-6.589,34.72,67.0,59.0,11.25,FO,1679278479.0
246,san patricio,28.017,-97.5169,53.47,50.0,100.0,5.86,US,1679278479.0
248,talnakh,69.4865,88.3972,-8.97,96.0,100.0,15.79,RU,1679278479.0
249,walvis bay,-22.9575,14.5053,61.09,83.0,3.0,7.58,NA,1679278480.0
250,mecca,21.4267,39.8261,68.97,47.0,0.0,7.16,SA,1679278203.0
251,esperance,-33.8667,121.9,72.9,51.0,77.0,12.88,AU,1679278300.0
252,providencia,28.7167,-111.5833,73.2,35.0,100.0,7.31,MX,1679278485.0
253,gimli,50.6336,-96.9907,15.82,67.0,14.0,10.36,CA,1679278486.0
254,bardiyah,31.7561,25.0865,54.81,77.0,0.0,9.98,LY,1679278486.0
255,asau,46.4333,26.4,32.92,64.0,19.0,4.21,RO,1679278486.0
256,pisco,-13.7,-76.2167,73.45,83.0,0.0,10.36,PE,1679278301.0
257,new norfolk,-42.7826,147.0587,58.91,36.0,8.0,4.43,AU,1679278487.0
258,ahipara,-35.1667,173.1667,70.65,60.0,8.0,5.19,NZ,1679278487.0
259,grindavik,63.8424,-22.4338,28.87,64.0,75.0,12.66,IS,1679278487.0
260,karimganj,24.8667,92.35,65.46,98.0,100.0,1.36,IN,1679278489.0
261,moctezuma,29.8,-109.6667,65.86,52.0,100.0,6.22,MX,1679278490.0
